LastActivity,AccountOwner,AccountName,State/Province,Type,Rating,LastModifiedDate,Country,HQCountry,AccountId,Region
6/15/17,Adam Swaney,On Semiconductor Corporation,Arizona,Prospect,"",6/19/20,United States,"",00130000004KQ8VAAW,WEST
3/16/20,Tom Sawyer,Oracle,California,Partner,N - Not a lead (do not market),6/19/20,United States,"",00130000004KQ8lAAG,WEST
10/3/18,Michael Kavalle,Orbitz,Illinois,Prospect,"",4/1/20,United States,"",00130000004KQ8qAAG,MIDWEST
7/6/20,Shannon Kimball,Oregon Health & Science University Hospital,Oregon,Prospect,"",6/19/20,United States,"",00130000004KQ8sAAG,WEST
6/29/20,Shannon Kimball,PACCAR,Washington,Prospect,C - General Interest (cont. to market),7/23/20,United States,"",00130000004KQ9VAAW,WEST
6/22/20,Jason Pearson,PG&E Corporation,California,Prospect,"",6/15/20,United States,"",00130000004KQ9WAAW,WEST
12/10/19,Mark Ronson,Pacific Life Insurance Co.,California,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KQ9XAAW,WEST
5/15/20,Shannon Kimball,Pacificorp,Oregon,Prospect,"",6/19/20,United States,"",00130000004KQ9dAAG,WEST
"",Gary Griffith,The Washington Post Company,DC,Ex-Customer,"",6/6/19,USA,"",00130000005HtDoAAK,SOUTHEAST
1/13/20,Gary Griffith,CareFirst BlueCross BlueShield,Maryland,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000005HtDxAAK,NORTHEAST
5/23/06,Gary Griffith,US House of Representatives,District of Columbia,Ex-Customer,"",6/19/20,United States,"",00130000005HtEIAA0,NORTHEAST
6/3/20,Gary Griffith,US Department of Health & Human Services,DC,Prospect,"",6/3/20,United States,"",00130000005HtEOAA0,SOUTHEAST
11/6/07,Gary Griffith,Court Services & Offender Supervision - CSOSA,DC,Prospect,C - General Interest (cont. to market),6/6/19,USA,"",00130000005HtEfAAK,SOUTHEAST
12/19/18,Gary Griffith,Geico Direct,Maryland,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000005HtFnAAK,NORTHEAST
12/18/18,Joe Hliboki,DuPont EI De Nemours & Co.,Delaware,Prospect,B - Possible project (within 3-9 mths),6/19/20,United States,"",00130000005HtGdAAK,SOUTHEAST
11/13/19,Mark Ronson,DJO Incorporated,California,Prospect,"",6/15/20,United States,"",00130000005IaCfAAK,WEST
7/1/20,Kateryna Hvastovich,NTT Data Inc,California,Prospective Partner,"",5/20/20,United States,"",00130000005IaDAAA0,SOUTHEAST
2/21/20,Mark Ronson,General Atomics,California,Prospect,"",6/19/20,United States,"",00130000005IaDIAA0,WEST
12/9/19,Mark Ronson,MedImpact Healthcare Systems Inc,California,Prospect,"",6/15/20,United States,"",00130000005IaDhAAK,WEST
11/6/19,Mark Ronson,St. Joseph Health,California,Prospect,"",6/15/20,United States,"",00130000005IaEIAA0,WEST
11/5/19,Mark Ronson,Bourns Inc,California,Prospect,"",6/19/20,United States,"",00130000005IaEbAAK,WEST
5/24/06,Jason Pearson,Ackrell & Company,California,Prospect,"",6/15/20,United States,"",00130000005IaEuAAK,WEST
2/21/20,Adam Swaney,Centura Health,Colorado,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLIXAA4,WEST
4/1/20,Zachery Peters,Cerner Corporation,Missouri,Prospect,"",7/24/20,United States,"",00130000004KLIcAAO,CENTRAL
6/15/20,Jason Pearson,Charles Schwab Corporation,California,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLIrAAO,WEST
6/29/20,Joe Hliboki,"Ascena Retail Group, Inc.",New Jersey,Ex-Customer,N - Not a lead (do not market),6/15/20,United States,"",00130000004KLIvAAO,NORTHEAST
7/28/20,James Raspanti,Charter Communications,Connecticut,Prospect,"",6/19/20,United States,"",00130000004KLIwAAO,NORTHEAST
11/18/13,Gary Griffith,CheckFree Corporation,Georgia,Prospect,C - General Interest (cont. to market),2/24/20,United States,"",00130000004KLJ6AAO,SOUTHEAST
3/3/20,Jason Pearson,Chevron Corporation,California,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLJDAA4,WEST
4/6/16,Michael Kavalle,Chicago Board Options Exchange,Illinois,Prospect,"",6/19/20,United States,"",00130000004KLJJAA4,MIDWEST
8/1/13,Michael Kavalle,Chicago Mercantile Exchange,Illinois,Prospect,"",4/1/20,United States,"",00130000004KLJKAA4,MIDWEST
10/5/18,Gary Griffith,Chick-fil-A,Georgia,Ex-Customer,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLJOAA4,SOUTHEAST
10/5/10,Gary Griffith,ChoicePoint Inc.,Georgia,Ex-Customer,C - General Interest (cont. to market),2/24/20,United States,"",00130000004KLJXAA4,SOUTHEAST
6/6/18,Sonny Covington,CHRISTUS Health,Texas,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLJaAAO,CENTRAL
8/27/18,Tyler Bush,Cincinnati Financial Corp.,Ohio,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLJjAAO,MIDWEST
4/13/17,Sonny Covington,AT&T Mobility (Cingular Wireless),Texas,Prospect,B - Possible project (within 3-9 mths),5/14/20,United States,"",00130000004KLJqAAO,CENTRAL
1/23/20,Jason Pearson,"Cisco Systems, Inc.",California,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLJvAAO,WEST
7/29/20,Kyle Graves,Citizens Financial Group,Rhode Island,Prospect,"",7/23/20,United States,"",00130000004KLK4AAO,NORTHEAST
4/22/19,Gary Griffith,"Citrix Systems, Inc.",Florida,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLK7AAO,SOUTHEAST
7/14/17,Sonny Covington,"iHeartMedia, Inc.",Texas,Prospect,"",5/14/20,United States,"",00130000004KLKvAAO,CENTRAL
7/22/20,Michael Kavalle,CNA Financial,Illinois,Prospect,C - General Interest (cont. to market),6/19/20,United States,"",00130000004KLLBAA4,MIDWEST
7/28/20,Jason Pearson,PayPal,California,Prospect,"",7/23/20,United States,"",00130000004KQAJAA4,WEST
9/19/19,Joe Hliboki,Pearson,New Jersey,Ex-Customer,A - Active project (within 3 to 6  mths),6/19/20,United States,"",00130000004KQATAA4,NORTHEAST
4/20/20,James Raspanti,"PepsiCo, Inc.",New York,Prospect,A - Active project (within 3 to 6  mths),6/19/20,United States,"",00130000004KQAyAAO,NORTHEAST
6/11/19,Joe Hliboki,"Pershing, LLC",New Jersey,Prospect,"",2/27/20,United States,"",00130000004KQB5AAO,NORTHEAST
11/14/18,Zachery Peters,Kiewit Corporation,Nebraska,Prospect,"",7/24/20,United States,"",00130000004KQB8AAO,CENTRAL
4/27/20,Adam Swaney,PetSmart,Arizona,Prospect,A - Active project (within 3 to 6  mths),6/22/20,United States,"",00130000004KQBGAA4,WEST
7/29/20,Tyler Bush,"PNC Financial Services Group,",Pennsylvania,Customer,"",7/29/20,United States,United States of America,00130000004KQC7AAO,MIDWEST
1/22/20,Kyle Graves,Polo Ralph Lauren Corporation,New York,Prospect,NQ - Not Qualified,5/14/20,United States,"",00130000004KQCDAA4,NORTHEAST
6/12/06,Tyler Bush,PPG Industries Inc,Pennsylvania,Ex-Customer,"",6/19/20,United States,"",00130000004KQCjAAO,MIDWEST
4/1/20,James Raspanti,Praxair,New York,Prospect,"",6/19/20,United States,"",00130000004KQCmAAO,NORTHEAST
6/8/20,Shannon Kimball,Premera Blue Cross,Washington,Prospect,"",7/23/20,United States,"",00130000004KQCsAAO,WEST
4/17/19,Gary Griffith,"Premier, Inc.",North Carolina,Prospect,"",6/19/20,United States,"",00130000004KQCuAAO,SOUTHEAST
11/8/19,Joe Hliboki,Christiana Care Health Services Inc,Delaware,Prospect,"",6/18/20,United States,"",00130000005HtGoAAK,SOUTHEAST
